time,sensor,value
1450535431,esquilo,starting,
1450535431,fridge,8.0625,
1450535432,freezer,-12.6875,
1450535443,fridge,8.125,
1450535443,freezer,-12.5,
1450535454,fridge,8.125,
1450535455,freezer,-12.375,
1450535465,fridge,8.125,
1450535466,freezer,-12.1875,
1450535477,fridge,8.1875,
1450535477,freezer,-12,
1450535488,fridge,8.1875,
1450535489,freezer,-11.8125,
1450535499,fridge,8.25,
1450535500,freezer,-11.6875,
1450535511,fridge,8.25,
1450535511,freezer,-11.5625,
1450535522,fridge,8.25,
1450535523,freezer,-11.375,
1450535533,fridge,8.3125,
1450535534,freezer,-11.1875,
1450535545,fridge,8.3125,
1450535545,freezer,-11.0625,
1450535556,fridge,8.375,
1450535557,freezer,-10.9375,
1450535567,fridge,8.375,
1450535568,freezer,-10.8125,
1450535579,fridge,8.4375,
1450535579,freezer,-10.6875,
1450535590,fridge,8.4375,
1450535591,freezer,-10.5625,
1450535601,fridge,8.4375,
1450535602,freezer,-10.5625,
1450535613,fridge,8.4375,
1450535613,freezer,-9.375,
1450535624,fridge,8.4375,
1450535625,freezer,-9,
1450535635,fridge,8.4375,
1450535636,freezer,-9.125,
1450535647,fridge,8.4375,
1450535647,freezer,-9.3125,
1450535658,fridge,8.4375,
1450535659,freezer,-9.5,
1450535669,fridge,8.4375,
1450535670,freezer,-9.625,
1450535681,fridge,8.4375,
1450535681,freezer,-9.875,
1450535692,fridge,8.5,
1450535693,freezer,-10,
1450535703,fridge,8.5,
1450535704,freezer,-10.125,
1450535715,fridge,8.5,
1450535715,freezer,-10.25,
1450535726,fridge,8.5,
1450535727,freezer,-10.3125,
1450535737,fridge,8.5,
1450535738,freezer,-10.4375,
1450535749,fridge,8.4375,
1450535749,freezer,-10.5625,
1450535760,fridge,8.5,
1450535761,freezer,-10.6875,
1450535771,fridge,8.4375,
1450535772,freezer,-10.9375,
1450535783,fridge,8.5,
1450535783,freezer,-11.125,
1450535794,fridge,8.5,
1450535795,freezer,-11.25,
1450535805,fridge,8.4375,
1450535806,freezer,-11.375,
1450535817,fridge,8.4375,
1450535817,freezer,-11.5625,
1450535828,fridge,8.4375,
1450535829,freezer,-11.6875,
1450535839,fridge,8.4375,
1450535840,freezer,-11.8125,
1450535851,fridge,8.4375,
1450535851,freezer,-12,
1450535862,fridge,8.4375,
1450535863,freezer,-12.0625,
1450535873,fridge,8.4375,
1450535874,freezer,-12.3125,
1450535885,fridge,8.4375,
1450535885,freezer,-12.4375,
1450535896,fridge,8.4375,
1450535897,freezer,-12.6875,
1450535907,fridge,8.375,
1450535908,freezer,-12.75,
1450535919,fridge,8.375,
1450535919,freezer,-12.9375,
1450535930,fridge,8.375,
1450535931,freezer,-13,
1450535941,fridge,8.375,
1450535942,freezer,-11.625,
1450535953,fridge,8.375,
1450535953,freezer,-11.8125,
1450535964,fridge,8.375,
1450535965,freezer,-12.0625,
1450535975,fridge,8.375,
1450535976,freezer,-12.3125,
1450535987,fridge,8.3125,
1450535987,freezer,-12.625,
1450535998,fridge,8.3125,
1450535999,freezer,-12.8125,
1450536009,fridge,8.3125,
1450536010,freezer,-13,
1450536021,fridge,8.3125,
1450536021,freezer,-13.1875,
1450536032,fridge,8.3125,
1450536033,freezer,-13.4375,
1450536043,fridge,8.25,
1450536044,freezer,-13.625,
1450536055,fridge,8.25,
1450536055,freezer,-13.8125,
1450536066,fridge,8.25,
1450536067,freezer,-14,
1450536077,fridge,8.25,
1450536078,freezer,-14.125,
1450536089,fridge,8.25,
1450536089,freezer,-14.3125,
1450536100,fridge,8.1875,
1450536101,freezer,-14.4375,
1450536111,fridge,8.1875,
1450536112,freezer,-14.4375,
1450536123,fridge,8.1875,
1450536123,freezer,-14.625,
1450536134,fridge,8.1875,
1450536135,freezer,-14.8125,
1450536145,fridge,8.1875,
1450536146,freezer,-14.5,
1450536157,fridge,8.1875,
1450536157,freezer,-14.375,
1450536168,fridge,8.1875,
1450536169,freezer,-14.3125,
1450536179,fridge,8.25,
1450536180,freezer,-14.3125,
1450536191,fridge,8.25,
1450536191,freezer,-14.375,
1450536202,fridge,8.25,
1450536203,freezer,-14.3125,
1450536213,fridge,8.3125,
1450536214,freezer,-14.25,
1450536225,fridge,8.3125,
1450536225,freezer,-14.1875,
1450536236,fridge,8.3125,
1450536237,freezer,-14.1875,
1450536247,fridge,8.375,
1450536248,freezer,-14.125,
1450536259,fridge,8.375,
1450536259,freezer,-14.0625,
1450536270,fridge,8.375,
1450536271,freezer,-13.9375,
1450536281,fridge,8.4375,
1450536282,freezer,-13.875,
1450536293,fridge,8.4375,
1450536293,freezer,-13.8125,
1450536304,fridge,8.5,
1450536305,freezer,-13.75,
1450536315,fridge,8.5,
1450536316,freezer,-13.625,
1450536327,fridge,8.5,
1450536327,freezer,-13.5625,
1450536338,fridge,8.5625,
1450536339,freezer,-13.5,
1450536349,fridge,8.5625,
1450536350,freezer,-13.375,
1450536361,fridge,8.5625,
1450536361,freezer,-13.375,
1450536372,fridge,8.625,
1450536373,freezer,-13.25,
1450536383,fridge,8.6875,
1450536384,freezer,-13.125,
1450536395,fridge,8.6875,
1450536395,freezer,-13.0625,
1450536406,fridge,8.6875,
1450536407,freezer,-13,
1450536417,fridge,8.75,
1450536418,freezer,-12.9375,
1450536429,fridge,8.75,
1450536429,freezer,-12.8125,
1450536440,fridge,8.75,
1450536441,freezer,-12.75,
1450536451,fridge,8.8125,
1450536452,freezer,-12.6875,
1450536463,fridge,8.8125,
1450536463,freezer,-12.625,
1450536474,fridge,8.875,
1450536475,freezer,-12.5625,
1450536485,fridge,8.875,
1450536486,freezer,-12.5,
1450536497,fridge,8.875,
1450536497,freezer,-12.4375,
1450536508,fridge,8.9375,
1450536509,freezer,-12.3125,
1450536519,fridge,8.9375,
1450536520,freezer,-12.25,
1450536531,fridge,8.9375,
1450536531,freezer,-12.1875,
1450536542,fridge,9,
1450536543,freezer,-12.125,
1450536553,fridge,9.0625,
1450536554,freezer,-12,
1450536565,fridge,9,
1450536565,freezer,-11.8125,
1450536576,fridge,9,
1450536577,freezer,-11.75,
1450536587,fridge,9,
1450536588,freezer,-11.6875,
1450536599,fridge,9.0625,
1450536599,freezer,-11.6875,
1450536610,fridge,9,
1450536611,freezer,-11.6875,
1450536621,fridge,9.0625,
1450536622,freezer,-11.6875,
1450536633,fridge,9.0625,
1450536633,freezer,-11.6875,
1450536644,fridge,9.0625,
1450536645,freezer,-11.6875,
1450536655,fridge,9,
1450536656,freezer,-11.75,
1450536667,fridge,9,
1450536667,freezer,-11.75,
1450536678,fridge,9,
1450536679,freezer,-11.8125,
1450536689,fridge,9,
1450536690,freezer,-11.8125,
1450536701,fridge,9,
1450536701,freezer,-11.8125,
1450536712,fridge,9,
1450536713,freezer,-11.8125,
1450536723,fridge,9,
1450536724,freezer,-11.875,
1450536735,fridge,9,
1450536735,freezer,-11.8125,
1450536746,fridge,9,
1450536747,freezer,-11.875,
1450536757,fridge,9,
1450536758,freezer,-11.9375,
1450536769,fridge,9,
1450536769,freezer,-12,
1450536780,fridge,8.9375,
1450536781,freezer,-12,
1450536791,fridge,8.9375,
1450536792,freezer,-12.0625,
1450536803,fridge,8.9375,
1450536803,freezer,-12.0625,
1450536814,fridge,8.9375,
1450536815,freezer,-12.1875,
1450536825,fridge,8.9375,
1450536826,freezer,-12.125,
1450536837,fridge,8.9375,
1450536837,freezer,-12.25,
1450536848,fridge,8.9375,
1450536849,freezer,-12.375,
1450536859,fridge,8.875,
1450536860,freezer,-12.4375,
1450536871,fridge,8.875,
1450536871,freezer,-12.5,
1450536882,fridge,8.875,
1450536883,freezer,-12.5625,
1450536893,fridge,8.875,
1450536894,freezer,-12.625,
1450536905,fridge,9,
1450536906,freezer,-12.375,
1450536916,fridge,9.25,
1450536917,freezer,-12.3125,
1450536928,fridge,9.4375,
1450536928,freezer,-11.5,
1450536939,fridge,9.5625,
1450536940,freezer,-10.9375,
1450536950,fridge,9.625,
1450536951,freezer,-11,
1450536962,fridge,9.6875,
1450536962,freezer,-11.125,
1450536973,fridge,9.75,
1450536974,freezer,-11.3125,
1450536984,fridge,9.75,
1450536985,freezer,-11.4375,
1450536996,fridge,9.75,
1450536996,freezer,-11.5,
1450537007,fridge,9.75,
1450537008,freezer,-11.5,
1450537018,fridge,9.75,
1450537019,freezer,-11.625,
1450537030,fridge,9.75,
1450537030,freezer,-11.6875,
1450537041,fridge,9.875,
1450537042,freezer,-11.375,
1450537052,fridge,10.0625,
1450537053,freezer,-11.3125,
1450537064,fridge,10.1875,
1450537064,freezer,-11.4375,
1450537075,fridge,10.25,
1450537076,freezer,-11.6875,
1450537086,fridge,10.3125,
1450537087,freezer,-11.9375,
1450537098,fridge,10.3125,
1450537098,freezer,-12.125,
1450537109,fridge,10.375,
1450537110,freezer,-12.25,
1450537120,fridge,10.375,
1450537121,freezer,-12.375,
1450537132,fridge,10.375,
1450537132,freezer,-12.5,
1450537143,fridge,10.3125,
1450537144,freezer,-12.6875,
1450537154,fridge,10.3125,
1450537155,freezer,-12.75,
1450537166,fridge,10.25,
1450537166,freezer,-12.875,
1450537177,fridge,10.1875,
1450537178,freezer,-12.9375,
1450537188,fridge,10.1875,
1450537189,freezer,-13.0625,
1450537200,fridge,10.1875,
1450537200,freezer,-13.1875,
1450537211,fridge,10.125,
1450537212,freezer,-13.375,
1450537222,fridge,10.125,
1450537223,freezer,-13.5625,
1450537234,fridge,10.125,
1450537234,freezer,-13.6875,
1450537245,fridge,10.0625,
1450537246,freezer,-13.875,
1450537256,fridge,10.0625,
1450537257,freezer,-13.9375,
1450537268,fridge,10.0625,
1450537268,freezer,-14.0625,
1450537279,fridge,10.0625,
1450537280,freezer,-14.1875,
1450537290,fridge,10,
1450537291,freezer,-14.3125,
1450537302,fridge,10,
1450537302,freezer,-14.4375,
1450537313,fridge,10,
1450537314,freezer,-14.5,
1450537324,fridge,9.9375,
1450537325,freezer,-14.625,
1450537336,fridge,9.9375,
1450537336,freezer,-14.75,
1450537347,fridge,9.9375,
1450537348,freezer,-14.8125,
1450537358,fridge,9.875,
1450537359,freezer,-14.875,
1450537370,fridge,9.8125,
1450537370,freezer,-14.9375,
1450537381,fridge,9.8125,
1450537382,freezer,-15,
1450537392,fridge,9.75,
1450537393,freezer,-15.125,
1450537404,fridge,9.75,
1450537404,freezer,-15.1875,
1450537415,fridge,9.6875,
1450537416,freezer,-15.25,
1450537426,fridge,9.6875,
1450537427,freezer,-15.3125,
1450537438,fridge,9.6875,
1450537438,freezer,-15.375,
1450537449,fridge,9.625,
1450537450,freezer,-15.4375,
1450537460,fridge,9.625,
1450537461,freezer,-15.5,
1450537472,fridge,9.625,
1450537472,freezer,-15.625,
1450537483,fridge,9.5625,
1450537484,freezer,-15.75,
1450537494,fridge,9.5625,
1450537495,freezer,-15.4375,
1450537506,fridge,9.5,
1450537506,freezer,-13.5,
1450537517,fridge,9.5,
1450537518,freezer,-12.625,
1450537528,fridge,9.4375,
1450537529,freezer,-12.8125,
1450537540,fridge,9.4375,
1450537540,freezer,-12.9375,
1450537551,fridge,9.4375,
1450537552,freezer,-13.125,
1450537562,fridge,9.375,
1450537563,freezer,-13.3125,
1450537574,fridge,9.375,
1450537574,freezer,-13.5,
1450537585,fridge,9.375,
1450537586,freezer,-13.5625,
1450537596,fridge,9.3125,
1450537597,freezer,-13.625,
1450537608,fridge,9.3125,
1450537608,freezer,-13.8125,
1450537619,fridge,9.3125,
1450537620,freezer,-14,
1450537630,fridge,9.25,
1450537631,freezer,-14.1875,
1450537642,fridge,9.25,
1450537642,freezer,-14.375,
1450537653,fridge,9.25,
1450537654,freezer,-14.5,
1450537664,fridge,9.1875,
1450537665,freezer,-14.625,
1450537676,fridge,9.3125,
1450537676,freezer,-14.4375,
1450537687,fridge,9.3125,
1450537688,freezer,-14.5625,
1450537698,fridge,9.3125,
1450537699,freezer,-14.75,
1450537710,fridge,9.3125,
1450537710,freezer,-15,
1450537721,fridge,9.3125,
1450537722,freezer,-15.1875,
1450537732,fridge,9.3125,
1450537733,freezer,-15.375,
1450537744,fridge,9.25,
1450537744,freezer,-15.5,
1450537755,fridge,9.25,
1450537756,freezer,-15.625,
1450537766,fridge,9.1875,
1450537767,freezer,-15.75,
1450537778,fridge,9.25,
1450537778,freezer,-15.75,
1450537789,fridge,9.1875,
1450537790,freezer,-15.9375,
1450537800,fridge,9.1875,
1450537801,freezer,-16.0625,
1450537812,fridge,9.125,
1450537812,freezer,-16.1875,
1450537823,fridge,9.125,
1450537824,freezer,-16.3125,
1450537834,fridge,9.0625,
1450537835,freezer,-16.375,
1450537846,fridge,9.0625,
1450537846,freezer,-16.375,
1450537857,fridge,9.0625,
1450537858,freezer,-16.4375,
1450537868,fridge,9.0625,
1450537869,freezer,-16.5,
1450537880,fridge,9,
1450537880,freezer,-16.5625,
1450537891,fridge,9,
1450537892,freezer,-16.5625,
1450537902,fridge,9,
1450537903,freezer,-16.6875,
1450537914,fridge,8.9375,
1450537914,freezer,-16.8125,
1450537925,fridge,8.9375,
1450537926,freezer,-16.9375,
1450537936,fridge,8.875,
1450537937,freezer,-17,
1450537948,fridge,8.875,
1450537948,freezer,-17,
1450537959,fridge,8.875,
1450537960,freezer,-17.0625,
1450537970,fridge,8.8125,
1450537971,freezer,-17.0625,
1450537982,fridge,8.8125,
1450537982,freezer,-17.0625,
1450537993,fridge,8.75,
1450537994,freezer,-17.1875,
1450538004,fridge,8.75,
1450538005,freezer,-16.9375,
1450538016,fridge,8.8125,
1450538016,freezer,-16.75,
1450538027,fridge,8.8125,
1450538028,freezer,-16.6875,
1450538038,fridge,8.8125,
1450538039,freezer,-16.625,
1450538050,fridge,8.875,
1450538050,freezer,-16.5,
1450538061,fridge,8.875,
1450538062,freezer,-16.375,
1450538124,esquilo,starting,
1450538124,fridge,8.9375,
1450538124,freezer,-15.5625,
1450538135,fridge,9,
1450538136,freezer,-15.5,
1450538147,fridge,9.125,
1450538147,freezer,-15.375,
1450538158,fridge,9.3125,
1450538159,freezer,-13.1875,
1450538169,fridge,9.375,
1450538170,freezer,-10.25,
1450538181,fridge,9.4375,
1450538181,freezer,-8.9375,
1450538192,fridge,9.5625,
1450538193,freezer,-8.5,
1450538203,fridge,9.5625,
1450538204,freezer,-8.1875,
1450538215,fridge,9.625,
1450538215,freezer,-8.0625,
1450538226,fridge,9.6875,
1450538227,freezer,-8,
1450538237,fridge,9.6875,
1450538238,freezer,-7.875,
1450538249,fridge,9.75,
1450538249,freezer,-7.8125,
1450538260,fridge,9.8125,
1450538261,freezer,-7.75,
1450538271,fridge,9.875,
1450538272,freezer,-7.75,
1450538283,fridge,9.9375,
1450538283,freezer,-7.6875,
1450538294,fridge,9.9375,
1450538295,freezer,-7.6875,
1450538305,fridge,9.9375,
1450538306,freezer,-7.6875,
1450538317,fridge,10,
1450538317,freezer,-7.6875,
1450538328,fridge,10.0625,
1450538329,freezer,-7.6875,
1450538339,fridge,10.0625,
1450538340,freezer,-7.6875,
1450538351,fridge,10.125,
1450538351,freezer,-7.75,
1450538362,fridge,10.1875,
1450538363,freezer,-7.6875,
1450538373,fridge,10.1875,
1450538374,freezer,-7.6875,
1450538385,fridge,10.1875,
1450538385,freezer,-7.6875,
1450538396,fridge,10.25,
1450538397,freezer,-7.6875,
1450538407,fridge,10.25,
1450538408,freezer,-7.75,
1450538419,fridge,10.3125,
1450538419,freezer,-7.75,
1450538430,fridge,10.3125,
1450538431,freezer,-7.6875,
1450538441,fridge,10.375,
1450538442,freezer,-7.6875,
1450538453,fridge,10.375,
1450538453,freezer,-7.6875,
1450538464,fridge,10.375,
1450538465,freezer,-7.6875,
1450538475,fridge,10.4375,
1450538476,freezer,-7.6875,
1450538487,fridge,10.4375,
1450538487,freezer,-7.625,
1450538498,fridge,10.5,
1450538499,freezer,-7.625,
1450538509,fridge,10.5,
1450538510,freezer,-7.5625,
1450538521,fridge,10.5625,
1450538521,freezer,-7.5625,
1450538532,fridge,10.5625,
1450538533,freezer,-7.5,
1450538543,fridge,10.5625,
1450538544,freezer,-7.5625,
1450538555,fridge,10.625,
1450538555,freezer,-7.75,
1450538566,fridge,10.5625,
1450538567,freezer,-7.9375,
1450538577,fridge,10.5625,
1450538578,freezer,-8.125,
1450538589,fridge,10.5,
1450538589,freezer,-8.3125,
1450538600,fridge,10.5,
1450538601,freezer,-8.5,
1450538611,fridge,10.4375,
1450538612,freezer,-8.625,
1450538623,fridge,10.4375,
1450538623,freezer,-8.8125,
1450538634,fridge,10.375,
1450538635,freezer,-8.9375,
1450538645,fridge,10.375,
1450538646,freezer,-9.0625,
1450538657,fridge,10.375,
1450538657,freezer,-9.1875,
1450538668,fridge,10.375,
1450538669,freezer,-9.3125,
1450538679,fridge,10.3125,
1450538680,freezer,-9.375,
1450538691,fridge,10.3125,
1450538691,freezer,-9.5,
1450538702,fridge,10.3125,
1450538703,freezer,-9.5625,
1450538713,fridge,10.3125,
1450538714,freezer,-9.6875,
